2026-02-23 03:00:58 - app.monitoring - WARNING - [monitoring.py:68] - Slow query detected: SELECT on  took 115.03ms
2026-02-23 03:00:58 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/access/logs took 2056.06ms (status: 200)
2026-02-23 03:02:24 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/users took 696.46ms (status: 200)
2026-02-23 03:13:44 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/anomaly-distribution took 812.68ms (status: 200)
2026-02-23 03:13:44 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/overview took 837.75ms (status: 200)
2026-02-23 03:20:14 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/explainations/decision/39 took 501.33ms (status: 200)
2026-02-23 03:22:47 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/anomaly-distribution took 762.56ms (status: 200)
2026-02-23 03:22:47 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/top-access-points took 763.52ms (status: 200)
2026-02-23 03:22:47 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/access/logs took 771.13ms (status: 200)
2026-02-23 03:22:47 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/access-timeline took 837.00ms (status: 200)
2026-02-23 03:36:10 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/overview took 843.69ms (status: 200)
2026-02-23 03:36:10 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/access-timeline took 893.33ms (status: 200)
2026-02-23 03:52:53 - app.monitoring - WARNING - [monitoring.py:68] - Slow query detected: UPDATE on USERS took 120.27ms
2026-02-23 03:52:53 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 2624.20ms (status: 200)
2026-02-23 03:53:24 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 644.19ms (status: 200)
2026-02-23 03:53:27 - app.monitoring - WARNING - [monitoring.py:68] - Slow query detected: INSERT on ANOMALY_ALERTS took 395.18ms
2026-02-23 03:53:52 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 1462.36ms (status: 200)
2026-02-23 03:55:26 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: PUT /api/users/20 took 518.59ms (status: 200)
2026-02-23 04:00:21 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/explainations/decision/33 took 513.32ms (status: 200)
2026-02-23 04:03:29 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 568.61ms (status: 200)
2026-02-23 04:03:39 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 633.08ms (status: 200)
2026-02-23 04:03:46 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 509.11ms (status: 200)
2026-02-23 04:10:39 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 550.78ms (status: 200)
2026-02-23 04:10:56 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 659.04ms (status: 200)
2026-02-23 04:11:09 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 612.24ms (status: 200)
2026-02-23 04:11:16 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 881.78ms (status: 200)
2026-02-23 04:11:18 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 774.72ms (status: 200)
2026-02-23 04:11:20 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 809.63ms (status: 200)
2026-02-23 04:11:32 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 559.17ms (status: 200)
2026-02-23 04:11:33 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 529.91ms (status: 200)
2026-02-23 04:11:39 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 895.89ms (status: 200)
2026-02-23 04:11:40 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 602.06ms (status: 200)
2026-02-23 04:11:41 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 763.73ms (status: 200)
2026-02-23 04:11:42 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 888.34ms (status: 200)
2026-02-23 04:11:43 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 876.66ms (status: 200)
2026-02-23 04:11:44 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 765.05ms (status: 200)
2026-02-23 04:16:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/access-points took 714.85ms (status: 200)
2026-02-23 04:16:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/users took 721.92ms (status: 200)
2026-02-23 04:16:29 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 674.45ms (status: 200)
2026-02-23 04:16:40 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 873.02ms (status: 200)
2026-02-23 04:16:46 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 770.66ms (status: 200)
2026-02-23 04:17:32 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 987.47ms (status: 200)
2026-02-23 04:19:25 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 534.64ms (status: 200)
2026-02-23 04:19:32 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 812.98ms (status: 200)
2026-02-23 04:22:44 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/top-access-points took 747.77ms (status: 200)
2026-02-23 04:22:44 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/access/logs took 755.24ms (status: 200)
2026-02-23 04:29:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/anomaly-distribution took 556.24ms (status: 200)
2026-02-23 04:29:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/top-access-points took 562.25ms (status: 200)
2026-02-23 04:29:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/access/logs took 564.53ms (status: 200)
2026-02-23 04:29:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/overview took 570.96ms (status: 200)
2026-02-23 04:29:12 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: GET /api/stats/access-timeline took 611.43ms (status: 200)
2026-02-23 04:29:41 - app.api_metrics - WARNING - [api_metrics.py:35] - Slow API: POST /api/access/request took 763.36ms (status: 200)
