hour,day_of_week,is_weekend,access_frequency_24h,time_since_last_access_min,location_match,role_level,is_restricted_area,is_first_access_today,sequential_zone_violation,access_attempt_count,time_of_week,hour_deviation_from_norm,geographic_impossibility,distance_between_scans_km,velocity_km_per_min,zone_clearance_mismatch,department_zone_mismatch,concurrent_session_detected,label
9,4,0,1,142,1,1,0,0,1,0,105,0.667,0,0.0,0.0,0,0,0,0
19,6,1,4,220,1,3,1,0,0,0,163,1.333,0,0.0,0.0,0,0,0,0
8,1,0,3,200,1,1,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
9,4,0,3,143,1,2,0,0,0,0,105,0.667,0,0.0,0.0,0,0,0,0
9,3,0,1,178,1,1,0,0,0,0,81,1.333,0,0.0,0.0,0,0,0,0
11,0,0,1,46,1,1,0,0,0,0,11,0.0,0,0.0,0.0,1,0,0,0
8,2,0,2,74,1,1,0,0,0,0,56,0.0,0,0.0,0.0,0,0,0,0
4,5,1,10,8,0,1,1,0,1,2,124,4.0,0,1.58,0.198,0,1,0,1
6,4,0,3,15,1,1,0,0,0,0,102,0.667,0,0.0,0.0,0,0,0,0
9,0,0,1,59,1,2,0,0,0,0,9,0.0,0,0.0,0.0,0,0,0,0
6,0,0,1,282,1,1,0,0,0,0,6,0.667,0,0.0,0.0,0,0,0,0
6,2,0,2,195,1,1,0,0,0,0,54,0.667,0,0.0,0.0,0,0,0,0
9,0,0,3,78,1,1,0,0,0,0,9,0.667,0,0.0,0.0,0,0,0,0
17,6,1,5,163,1,3,1,0,0,0,161,0.0,0,0.0,0.0,0,0,0,0
11,2,0,3,45,1,1,0,0,0,0,59,0.0,0,0.0,0.0,0,0,0,0
9,2,0,3,176,1,1,0,0,0,0,57,0.667,0,0.0,0.0,0,0,0,0
7,0,0,3,196,1,1,0,0,0,0,7,0.667,0,0.0,0.0,0,0,0,0
6,4,0,1,96,1,1,0,0,0,0,102,1.333,0,0.0,0.0,0,0,0,0
10,3,0,2,159,1,2,0,0,0,1,82,0.667,0,0.0,0.0,0,0,0,0
14,4,0,1,139,1,1,0,1,0,0,110,2.0,0,0.0,0.0,0,0,0,0
7,0,0,4,135,1,1,0,0,0,0,7,0.667,0,0.0,0.0,0,0,0,0
6,4,0,3,249,1,1,0,1,0,0,102,2.0,0,0.0,0.0,0,0,0,0
6,4,0,5,122,1,1,0,0,0,0,102,1.333,0,0.0,0.0,0,0,0,0
8,1,0,4,170,1,1,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
8,3,0,4,96,1,1,0,1,0,0,80,0.0,0,0.0,0.0,0,0,0,0
6,4,0,2,63,1,1,0,1,0,0,102,0.667,0,0.0,0.0,0,0,0,0
6,4,0,2,61,1,2,0,0,0,0,102,1.333,0,0.0,0.0,0,1,0,0
7,0,0,2,145,1,2,0,0,0,0,7,0.667,0,0.0,0.0,0,1,0,0
11,3,0,3,126,1,2,0,0,0,0,83,1.333,0,0.0,0.0,0,0,0,0
10,3,0,2,149,1,1,0,0,0,0,82,0.667,0,0.0,0.0,0,0,0,0
10,1,0,1,192,1,2,0,0,0,0,34,0.667,0,0.0,0.0,0,0,0,0
17,5,1,3,207,1,3,0,0,0,0,137,0.0,0,0.0,0.0,0,0,0,0
8,1,0,1,125,1,1,0,1,0,0,32,0.0,0,0.0,0.0,0,0,0,0
9,3,0,1,153,1,1,0,0,0,0,81,0.667,0,0.0,0.0,0,0,0,0
8,1,0,2,74,1,1,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
11,1,0,2,139,1,1,0,0,0,0,35,0.0,0,0.0,0.0,1,0,0,0
9,4,0,5,78,0,1,1,1,1,5,105,3.0,0,0.324,0.004,1,1,0,1
10,1,0,2,174,1,1,0,0,0,0,34,0.667,0,0.0,0.0,0,0,0,0
0,1,0,7,11,0,1,1,0,1,3,24,7.333,0,0.153,0.014,1,1,0,1
11,1,0,1,191,1,1,0,1,0,0,35,0.0,0,0.0,0.0,0,0,0,0
10,1,0,1,189,1,1,0,1,0,0,34,0.667,0,0.0,0.0,0,0,0,0
6,4,0,1,92,1,1,0,0,0,0,102,2.0,0,0.0,0.0,0,0,0,0
7,4,0,2,163,1,2,0,0,0,0,103,1.333,0,0.0,0.0,0,0,0,0
13,5,1,3,112,1,3,0,1,0,0,133,0.0,0,0.0,0.0,0,0,0,0
8,1,0,1,260,1,2,0,0,0,0,32,0.0,0,0.0,0.0,0,0,0,0
6,0,0,2,118,1,1,0,0,0,0,6,0.667,0,0.0,0.0,0,0,0,0
9,4,0,3,240,1,2,0,0,0,0,105,0.667,0,0.0,0.0,0,0,0,0
10,1,0,3,139,1,1,0,0,0,0,34,0.667,0,0.0,0.0,0,0,0,0
10,3,0,4,198,1,2,0,1,1,0,82,0.667,0,0.0,0.0,0,0,0,0
10,3,0,3,47,1,1,0,1,0,0,82,0.0,0,0.0,0.0,0,0,0,0
10,4,0,3,131,1,1,0,0,0,0,106,0.0,0,0.0,0.0,1,0,0,0
10,0,0,1,164,1,1,0,0,0,0,10,0.667,0,0.0,0.0,0,0,0,0
10,2,0,1,223,1,1,0,0,0,0,58,0.0,0,0.0,0.0,0,0,0,0
6,4,0,2,117,1,1,0,0,0,0,102,0.667,0,0.0,0.0,0,0,0,0
8,3,0,1,10,1,1,0,1,0,0,80,0.667,0,0.0,0.0,0,1,0,0
