hour,day_of_week,is_weekend,access_frequency_24h,time_since_last_access_min,location_match,role_level,is_restricted_area,label
10,0,0,6,92,1,3,0,0
12,2,0,1,168,1,1,0,0
15,6,1,3,93,1,1,0,0
13,5,1,7,127,1,1,0,1
14,3,0,3,37,1,1,0,0
11,3,0,6,108,1,2,0,0
11,0,0,1,133,1,2,0,0
8,3,0,2,110,1,1,0,0
10,3,0,6,88,1,1,0,0
12,3,0,15,75,1,3,0,1
11,0,0,5,134,1,2,0,0
15,2,0,6,122,1,1,0,0
12,3,0,2,69,1,1,0,0
8,0,0,4,76,1,1,0,0
9,2,0,6,62,1,1,0,0
10,2,0,1,216,1,2,0,0
11,0,0,3,30,1,1,0,0
16,6,1,2,326,1,1,0,1
14,0,0,2,159,1,1,0,0
13,3,0,5,96,1,3,0,0
13,3,0,2,188,1,2,0,0
9,0,0,6,251,1,3,1,0
1,2,0,7,261,1,1,0,1
12,1,0,3,115,1,1,0,0
15,2,0,1,108,1,3,0,0
15,2,0,21,478,1,2,0,1
9,1,0,6,108,1,1,0,0
9,2,0,3,187,1,1,0,0
8,3,0,1,113,1,1,0,0
12,0,0,5,122,1,1,0,0
15,2,0,4,88,1,3,1,0
10,3,0,5,56,1,1,0,0
10,0,0,4,109,1,1,0,0
10,2,0,7,193,1,1,0,0
16,4,0,2,161,1,2,0,0
12,3,0,1,80,1,3,1,0
8,0,0,3,137,1,1,0,0
12,4,0,3,125,1,1,0,0
13,0,0,2,228,1,1,0,0
12,4,0,4,199,1,1,0,0
15,2,0,1,173,1,3,0,0
14,2,0,1,235,1,1,0,0
12,0,0,3,40,1,2,0,0
10,1,0,4,30,1,3,1,0
8,3,0,1,30,1,2,0,0
8,2,0,3,107,1,1,0,0
3,1,0,2,131,1,1,0,1
15,0,0,5,90,1,1,0,0
9,3,0,4,57,1,2,0,0
10,4,0,2,159,1,2,0,0
9,3,0,3,69,1,1,0,0
15,3,0,1,84,1,2,1,0
14,0,0,1,140,1,1,0,0
9,2,0,4,105,1,1,0,0
10,0,0,3,42,1,2,0,0
16,3,0,16,376,1,1,0,1
13,2,0,8,55,1,2,1,0
10,3,0,5,95,1,1,0,0
8,4,0,7,386,0,3,1,1
