threshold,precision,recall,f1,valid
0.1,0.062,0.9992,0.1167,False
0.11,0.0646,0.9992,0.1214,False
0.12,0.0675,0.999,0.1265,False
0.13,0.0703,0.999,0.1314,False
0.14,0.0732,0.9988,0.1364,False
0.15,0.0764,0.9988,0.1419,False
0.16,0.0796,0.9988,0.1474,False
0.17,0.083,0.9986,0.1533,False
0.18,0.0865,0.9986,0.1592,False
0.19,0.0903,0.9984,0.1657,False
0.2,0.0944,0.9984,0.1725,False
0.21,0.0986,0.998,0.1794,False
0.22,0.103,0.9976,0.1868,False
0.23,0.1082,0.9974,0.1952,False
0.24,0.1135,0.9972,0.2038,False
0.25,0.1197,0.9968,0.2138,False
0.26,0.1259,0.996,0.2235,False
0.27,0.1327,0.9956,0.2341,False
0.28,0.1402,0.9952,0.2458,False
0.29,0.1484,0.9948,0.2582,False
0.3,0.1568,0.994,0.2709,False
0.31,0.1657,0.9938,0.284,False
0.32,0.176,0.9926,0.299,False
0.33,0.1871,0.9916,0.3148,False
0.34,0.1985,0.9908,0.3307,False
0.35,0.2103,0.9892,0.3469,False
0.36,0.2233,0.9876,0.3642,False
0.37,0.2364,0.9856,0.3813,False
0.38,0.2495,0.9834,0.398,False
0.39,0.2638,0.9804,0.4157,False
0.4,0.2792,0.9776,0.4344,False
0.41,0.296,0.974,0.454,False
0.42,0.3157,0.9716,0.4766,False
0.43,0.3351,0.9678,0.4978,False
0.44,0.3566,0.963,0.5205,False
0.45,0.3797,0.9588,0.544,False
0.46,0.4049,0.9556,0.5688,False
0.47,0.43,0.951,0.5922,False
0.48,0.4573,0.9452,0.6164,False
0.49,0.4866,0.939,0.641,False
0.5,0.518,0.9332,0.6662,False
0.51,0.5475,0.9272,0.6884,False
0.52,0.5786,0.9204,0.7106,False
0.53,0.6153,0.9152,0.7359,False
0.54,0.6432,0.9038,0.7515,False
0.55,0.6783,0.8922,0.7707,False
0.56,0.7054,0.8792,0.7828,False
0.57,0.7335,0.8672,0.7948,True
0.58,0.7593,0.853,0.8034,True
0.59,0.7857,0.838,0.811,True
0.6,0.8085,0.8258,0.8171,True
0.61,0.8269,0.8082,0.8174,True
0.62,0.8525,0.792,0.8212,False
0.63,0.8738,0.7742,0.821,False
0.64,0.8944,0.7558,0.8193,False
0.65,0.9121,0.7384,0.8161,False
0.66,0.9276,0.7178,0.8093,False
0.67,0.9381,0.6936,0.7975,False
0.68,0.95,0.6692,0.7853,False
0.69,0.9577,0.638,0.7658,False
0.7,0.9634,0.6164,0.7518,False
0.71,0.9708,0.5858,0.7307,False
0.72,0.9763,0.5524,0.7056,False
0.73,0.9837,0.5184,0.679,False
0.74,0.9859,0.4878,0.6527,False
0.75,0.9888,0.461,0.6288,False
0.76,0.9912,0.4286,0.5984,False
0.77,0.9921,0.4012,0.5713,False
0.78,0.994,0.3668,0.5359,False
0.79,0.9964,0.331,0.4969,False
0.8,0.998,0.2984,0.4594,False
0.81,0.9977,0.2606,0.4133,False
0.82,0.9991,0.2314,0.3758,False
0.83,0.999,0.198,0.3305,False
0.84,0.9988,0.172,0.2935,False
0.85,0.9986,0.1446,0.2526,False
0.86,0.9983,0.119,0.2127,False
0.87,0.9979,0.094,0.1718,False
0.88,1.0,0.0732,0.1364,False
0.89,1.0,0.0604,0.1139,False
